Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
0,0.00331,0.00232,0.00276,,,,,,,0.00256,0.00486,,,,,,
5,NaN,0.00414,0.00108,,,,,,,0.00111,NaN,,,,,,
10,0.000824,0.00139,0.00131,,,,,,,0.00126,0.00126,,,,,,
15,0.000792,0.00127,0.00125,,,,,,,0.00126,0.00123,,,,,,
20,0.000815,0.00127,0.00128,,,,,,,0.00127,0.00127,,,,,,
25,0.000828,0.00127,0.00130,,,,,,,0.00128,0.00128,,,,,,
30,0.000853,0.00130,0.00132,,,,,,,0.00130,0.00130,,,,,,
35,0.000857,0.00132,0.00131,,,,,,,0.00131,0.00131,,,,,,
40,0.000845,0.00133,0.00131,,,,,,,0.00132,0.00130,,,,,,
45,0.000827,0.00131,0.00128,,,,,,,0.00130,0.00129,,,,,,
50,0.000828,0.00128,0.00128,,,,,,,0.00131,0.00128,,,,,,
55,0.000858,0.00127,0.00126,,,,,,,0.00129,0.00128,,,,,,
60,0.00107,0.00129,0.00128,,,,,,,0.00135,0.00145,,,,,,
65,NaN,0.00649,NaN,,,,,,,NaN,NaN,,,,,,
