Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
4,24.0,106,234,221,,,,,,,234,230,229,225,231,222,,
9,24.3,106,234,221,,,,,,,229,230,229,225,231,222,,
14,23.6,106,295,221,,,,,,,229,230,229,226,231,222,,
19,24.3,106,562,221,,,,,,,229,230,229,226,231,222,,
24,23.3,106,1.05,222,,,,,,,229,230,229,226,231,222,,
29,23.8,106,1.50,222,,,,,,,229,230,229,227,231,222,,
34,23.4,106,1.97,222,,,,,,,229,230,229,227,231,222,,
39,23.6,103,2.31,222,,,,,,,230,230,229,227,231,221,,
44,23.0,103,2.82,222,,,,,,,230,227,229,226,231,221,,
49,23.6,103,1.93,222,,,,,,,230,227,229,226,231,221,,
54,23.2,103,1.91,222,,,,,,,230,227,229,227,231,222,,
59,24.2,103,1.90,222,,,,,,,231,227,229,227,231,222,,
64,24.3,104,1.80,222,,,,,,,231,227,229,227,231,223,,
69,23.7,104,1.77,222,,,,,,,231,227,229,227,231,223,,
74,24.3,104,1.67,222,,,,,,,231,227,229,227,231,223,,
79,24.1,104,1.52,222,,,,,,,231,227,229,224,231,223,,
84,23.6,104,1.52,222,,,,,,,231,227,229,224,231,223,,
89,24.1,104,1.48,222,,,,,,,231,227,229,224,231,223,,
94,23.8,104,1.40,222,,,,,,,231,227,229,224,231,223,,
99,23.9,104,1.39,222,,,,,,,231,227,193,224,189,223,,
104,23.5,71.7,1.39,222,,,,,,,231,227,193,224,189,223,,
109,23.8,71.7,1.39,222,,,,,,,231,227,193,224,189,223,,
114,23.3,71.7,1.38,192,,,,,,,231,227,194,224,189,223,,
119,23.8,71.7,1.38,192,,,,,,,231,227,195,224,189,223,,
124,23.6,71.7,1.38,192,,,,,,,231,227,195,224,189,198,,
129,23.1,71.7,1.38,193,,,,,,,197,227,195,224,189,198,,
134,23.7,71.7,1.38,193,,,,,,,197,228,195,224,189,198,,
139,23.7,71.7,1.38,194,,,,,,,197,228,195,224,189,198,,
144,23.4,71.7,1.39,195,,,,,,,197,228,196,224,189,198,,
149,24.2,72.3,1.39,195,,,,,,,197,228,196,224,189,198,,
154,24.2,72.3,1.39,195,,,,,,,197,228,196,224,190,199,,
159,24.4,72.3,1.40,195,,,,,,,197,228,196,224,190,199,,
164,24.4,72.3,1.41,195,,,,,,,198,181,196,224,190,199,,
169,23.5,72.3,1.40,195,,,,,,,199,181,196,224,190,199,,
174,23.9,72.3,1.40,196,,,,,,,199,181,196,224,190,199,,
179,23.4,72.3,,196,,,,,,,199,181,196,224,190,199,,
184,24.0,72.3,,196,,,,,,,199,181,196,224,190,199,,
189,23.3,72.3,,196,,,,,,,199,181,196,224,190,199,,
194,23.5,72.3,,197,,,,,,,199,181,197,224,190,199,,
199,23.8,72.3,,197,,,,,,,199,181,197,192,190,199,,
204,23.2,72.3,,197,,,,,,,199,181,197,192,190,199,,
209,23.9,72.3,,197,,,,,,,199,182,197,192,190,199,,
214,23.6,72.3,,197,,,,,,,199,182,197,192,190,199,,
219,23.8,72.3,,197,,,,,,,199,182,193,192,189,199,,
224,23.2,71.6,,197,,,,,,,199,182,193,192,189,199,,
229,23.4,71.6,,197,,,,,,,199,182,193,192,189,199,,
234,23.6,71.6,,192,,,,,,,199,182,193,192,189,199,,
239,23.8,71.6,,192,,,,,,,199,183,193,192,189,199,,
244,24.1,71.6,,192,,,,,,,199,183,193,192,189,195,,
249,24.0,71.6,,192,,,,,,,197,183,193,192,189,195,,
254,23.5,71.6,,192,,,,,,,197,183,193,192,189,195,,
259,23.5,72.1,,192,,,,,,,197,183,193,192,189,195,,
264,23.6,72.1,,192,,,,,,,197,183,193,192,189,195,,
269,23.6,72.1,,192,,,,,,,197,183,193,192,190,195,,
274,23.6,72.1,,192,,,,,,,197,183,193,192,190,195,,
279,24.2,72.7,,192,,,,,,,198,183,193,192,190,195,,
284,24.2,72.7,,192,,,,,,,198,181,193,192,190,195,,
289,23.5,72.7,,192,,,,,,,198,181,193,192,190,195,,
294,23.8,72.7,,192,,,,,,,198,181,193,192,190,195,,
299,24.0,72.7,,192,,,,,,,198,181,193,192,190,195,,
304,24.0,72.7,,192,,,,,,,199,181,193,192,191,195,,
309,24.4,72.7,,192,,,,,,,199,182,193,192,191,195,,
314,24.4,72.7,,192,,,,,,,199,182,193,192,191,196,,
319,24.0,72.7,,192,,,,,,,199,183,193,191,191,196,,
324,23.6,72.7,,192,,,,,,,200,183,193,191,191,196,,
329,23.9,72.7,,192,,,,,,,200,183,194,191,191,196,,
334,23.4,72.7,,192,,,,,,,200,183,194,191,191,196,,
339,23.7,72.7,,192,,,,,,,200,183,194,191,191,196,,
344,23.5,71.8,,192,,,,,,,200,183,194,192,191,196,,
349,23.5,,,,,,,,,,,,,,,,,
354,23.7,,,,,,,,,,,,,,,,,
359,23.6,34.4,74.0,64.7,,66.4,,,60.7,74.1,67.9,63.9,64.0,70.3,64.6,64.2,68.4,
364,23.8,49.9,76.2,77.4,73.9,78.9,74.6,72.4,77.2,89.1,80.7,83.0,81.0,80.6,81.4,81.2,85.1,64.0
369,23.7,49.9,88.8,85.7,84.3,89.4,87.2,85.0,83.8,97.4,87.0,91.4,87.5,93.2,89.6,89.4,91.4,83.0
374,23.7,49.9,97.3,96.3,93.0,95.9,93.8,93.3,94.3,110,99.7,104,95.6,99.5,102,99.9,104,91.4
379,23.7,49.9,105,108,107,113,111,106,105,118,110,112,106,116,110,110,110,106
384,23.5,51.9,105,113,107,113,113,112,105,118,112,112,106,116,110,110,110,108
389,24.0,53.9,107,113,109,113,113,112,105,118,112,112,106,116,112,112,110,108
394,23.6,53.9,108,113,109,113,113,112,105,120,114,112,108,116,112,112,110,108
399,23.6,55.9,112,113,109,113,113,112,105,120,114,112,108,116,112,112,110,108
404,23.5,55.9,116,115,109,113,113,114,105,120,114,112,108,118,115,115,112,108
