Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
3,1553,1553,1634
8,1821,1821,1944
13,2134,2133,2254
18,2446,2446,2704
23,3027,3027,3324
28,3651,3651,3954
33,4277,4277,4444
38,4634,4634,4824
43,5151,5151,5454
48,5918,5918,6264
53,6589,6588,6884
58,7214,7213,7514
63,7839,7838,8134
68,8464,8463,8694
73,8886,8885,9004
78,9057,9057,9008
83,9057,9057,9008
88,9057,9057,9008
93,9057,9057,9008
98,9057,9057,9008
103,9057,9057,9008
108,9057,9057,9008
113,9057,9057,9008
118,9057,9057,9008
