Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
2,0.3333333333333381,0.20000000000000018,1.8666666666666683,1.2666666666666664,,,,,,,1.2666666666666664,1.0666666666666678,1.1999999999999982,1.2666666666666664,1.0666666666666647,1.1333333333333329,,
7,0.3333333333333381,0.13333333333333347,1.0666666666666678,1.0000000000000022,,,,,,,0.9333333333333341,0.9333333333333341,0.9999999999999993,0.9999999999999993,0.9333333333333341,0.8666666666666659,,
12,0.33333333333332626,0.13333333333333347,0.9999999999999963,0.8666666666666689,,,,,,,0.8666666666666659,0.9333333333333311,0.8000000000000007,0.9333333333333341,0.9333333333333341,0.8000000000000007,,
17,0.33333333333332626,0.9999999999999993,1.1333333333333329,0.8666666666666659,,,,,,,0.8666666666666659,1.5333333333333332,1.2666666666666664,0.8000000000000007,0.9999999999999993,0.8000000000000007,,
22,0.3333333333333381,5.133333333333334,6.600000000000001,3.6000000000000005,,,,,,,3.3333333333333335,4.666666666666668,4.333333333333333,2.8666666666666676,3.666666666666665,4.0666666666666655,,
27,0.3333333333333381,12.133333333333333,16.396720655868823,7.666666666666666,,,,,,,7.266666666666666,9.600000000000003,9.266666666666667,6.666666666666667,7.733333333333333,8.666666666666666,,
32,0.3333333333333381,19.333333333333336,31.8,13.866666666666669,,,,,,,13.333333333333334,15.200000000000003,15.000000000000002,12.8,13.866666666666665,14.866666666666667,,
37,0.33333333333332626,23.8,42.13333333333333,17.200000000000003,,,,,,,17,18.133333333333333,18.2,17,17.400000000000002,17.933333333333334,,
42,0.4000000000000033,25.2,48.47636193905448,19.46666666666666,,,,,,,19.26666666666667,19.4,19.4,19.53333333333333,19.466666666666665,19.6,,
47,0.3333333333333381,24.4,49.13333333333334,19.666666666666664,,,,,,,19.53333333333333,18.933333333333334,19.266666666666666,19.666666666666668,19.53333333333333,19.799999999999997,,
52,0.4000000000000033,19.799999999999997,44.79999999999999,17.133333333333333,,,,,,,17.066666666666663,15.933333333333325,16.066666666666666,17.666666666666668,16.866666666666667,16.53333333333333,,
57,0.33333333333332626,12.733333333333327,35.40000000000001,12.800000000000006,,,,,,,13.13333333333333,10.866666666666665,11.200000000000005,13.800000000000006,12.8,12.000000000000005,,
62,0.39999999999999153,5.400000000000003,20.266666666666662,6.53333333333333,,,,,,,7.000000000000004,5.133333333333336,5.266666666666661,8.000000000000002,6.600000000000008,5.800000000000007,,
67,0.3333333333333381,1.4000000000000057,8.800000000000002,2.9999999999999956,,,,,,,3.2666666666666675,2.06666666666667,2.2000000000000006,3.79999999999999,3.1333333333333253,2.7333333333333343,,
72,0.3333333333333381,0.13333333333334232,2.066666666666658,1.0666666666666678,,,,,,,1.0000000000000022,0.8666666666666718,0.9333333333333252,1.3333333333333286,1.0000000000000022,1.0666666666666678,,
77,0.2666666666666728,0.06666666666666525,1.0666666666666678,0.8666666666666718,,,,,,,0.86666666666666,0.9333333333333252,0.8000000000000066,0.9333333333333252,0.9999999999999905,0.7999999999999948,,
82,0.266666666666661,0.06666666666666525,1.0666666666666678,0.8000000000000066,,,,,,,0.8666666666666718,0.933333333333337,0.7999999999999948,0.8666666666666718,0.8666666666666718,0.8666666666666718,,
87,0.33333333333332626,0.06666666666666525,1.0666666666666678,0.7333333333333295,,,,,,,0.86666666666666,0.9333333333333252,0.8666666666666718,0.7999999999999948,1.0000000000000022,0.9333333333333252,,
