Time,OrdererCPU,PeersCPU,HostCPU
0,0.00200,0.0240,0.00600
15,,,0.00200
30,0.0140,0.0960,0.00200
45,0.00200,0.0620,0.00400
60,0,0.0780,0.00200
75,0.0140,0.184,0.00200
90,0.0500,0.448,0.00400
105,0.0420,0.376,0.00400
120,0.0120,0.140,0.00400
135,0,0.0720,0.00200
150,0,0.0760,0.00200
165,0.0440,0.440,0.00200
180,0.114,0.920,0.00400
195,0.124,1.01,0.00200
210,0.140,1.13,0.00400
225,0.172,1.40,0.00400
240,0.222,1.81,0.00200
255,0.328,2.60,0.00400
270,0.658,5.18,0.00400
285,0.628,4.33,0.00600
300,0,0.0760,0.00200
315,0,0.0720,0.00400
330,0.516,3.61,0.00400
345,0.306,1.21,0.00200
360,0,0.0780,0.00400
375,0.00200,6.55,0.00400
390,0.00200,7.24,0.00600
405,0,6.44,0.00600
420,0,6.48,0.00600
435,0,6.96,0.00800
450,0,7.61,0.00600
465,0,7.71,0.00400
480,0,0.0700,0.00200
495,,,0.00200
