Time,nvme0n1 - Successfully read bytes,nvme0n1 - Successfully written bytes
0,230 kB/s,933 kB/s
15,6.55 kB/s,5.63 MB/s
30,0 B/s,2.70 MB/s
45,0 B/s,2.64 MB/s
60,0 B/s,475 kB/s
75,0 B/s,5.02 MB/s
90,0 B/s,6.19 MB/s
105,0 B/s,6.66 MB/s
120,0 B/s,8.25 MB/s
135,0 B/s,10.5 MB/s
150,0 B/s,16.8 MB/s
165,0 B/s,23.2 MB/s
180,0 B/s,54.9 MB/s
195,0 B/s,25.4 kB/s
210,0 B/s,55.0 MB/s
225,0 B/s,10.6 kB/s
240,0 B/s,29.5 kB/s
255,0 B/s,42.6 kB/s
270,0 B/s,29.5 kB/s
285,0 B/s,193 kB/s
300,0 B/s,37.7 kB/s
315,0 B/s,53.2 kB/s
330,10.6 kB/s,237 kB/s
345,323 kB/s,9.96 MB/s
360,4.10 kB/s,982 kB/s
375,0 B/s,208 kB/s
390,0 B/s,3.76 MB/s
405,0 B/s,3.70 MB/s
420,86.8 kB/s,148 kB/s
435,8.19 kB/s,9.50 MB/s
450,0 B/s,7.82 MB/s
465,0 B/s,9.20 MB/s
480,0 B/s,10.8 MB/s
495,13.1 kB/s,13.2 MB/s
510,0 B/s,17.1 MB/s
525,819 B/s,28.1 MB/s
540,0 B/s,49.1 MB/s
555,819 B/s,57.5 MB/s
570,0 B/s,184 kB/s
585,0 B/s,2.37 MB/s
600,0 B/s,47.0 MB/s
615,0 B/s,77.8 kB/s
630,0 B/s,173 kB/s
645,0 B/s,12.6 MB/s
660,0 B/s,21.0 MB/s
675,30.3 kB/s,21.0 MB/s
690,0 B/s,4.80 MB/s
705,0 B/s,45.1 kB/s
720,9.83 kB/s,95.8 kB/s
735,90.1 kB/s,36.9 kB/s
750,343 kB/s,1.65 MB/s
765,45.1 kB/s,2.42 MB/s
780,0 B/s,22.1 kB/s
795,1.64 kB/s,1.87 MB/s
810,0 B/s,5.29 MB/s
825,0 B/s,4.65 MB/s
840,0 B/s,963 kB/s
855,0 B/s,17.2 kB/s
870,0 B/s,30.3 kB/s
885,0 B/s,4.18 MB/s
900,0 B/s,13.0 MB/s
915,0 B/s,15.0 MB/s
930,26.2 kB/s,17.6 MB/s
945,0 B/s,21.7 MB/s
960,0 B/s,36.1 MB/s
975,15.6 kB/s,52.8 MB/s
990,0 B/s,80.4 MB/s
1005,22.1 kB/s,84.4 MB/s
1020,0 B/s,194 kB/s
1035,0 B/s,82.7 kB/s
1050,0 B/s,70.6 MB/s
1065,0 B/s,38.9 MB/s
1080,0 B/s,129 kB/s
1095,0 B/s,5.90 MB/s
1110,0 B/s,12.2 MB/s
1125,39.3 kB/s,21.8 MB/s
1140,0 B/s,9.64 MB/s
1155,0 B/s,10.2 MB/s
1170,819 B/s,10.3 MB/s
1185,0 B/s,6.16 MB/s
1200,0 B/s,84.4 kB/s
1215,369 kB/s,12.9 MB/s
1230,57.3 kB/s,3.12 MB/s
1245,0 B/s,404 kB/s
1260,0 B/s,128 kB/s
1275,0 B/s,22.9 kB/s
1290,0 B/s,13.1 kB/s
1305,0 B/s,416 kB/s
1320,0 B/s,2.69 MB/s
1335,0 B/s,7.20 MB/s
1350,0 B/s,8.26 MB/s
1365,0 B/s,3.04 MB/s
1380,0 B/s,384 kB/s
1395,0 B/s,67.2 kB/s
1410,0 B/s,225 kB/s
1425,0 B/s,109 kB/s
1440,0 B/s,113 kB/s
1455,0 B/s,10.7 MB/s
1470,0 B/s,24.4 MB/s
1485,0 B/s,38.6 MB/s
1500,0 B/s,42.5 MB/s
1515,0 B/s,40.8 MB/s
1530,0 B/s,56.1 MB/s
1545,0 B/s,89.4 MB/s
1560,0 B/s,128 MB/s
1575,0 B/s,98.3 MB/s
1590,0 B/s,55.7 kB/s
1605,41.0 kB/s,27.0 kB/s
1620,0 B/s,11.5 kB/s
1635,0 B/s,49.0 MB/s
1650,0 B/s,31.6 MB/s
1665,0 B/s,49.2 kB/s
1680,0 B/s,85.1 MB/s
1695,0 B/s,11.5 kB/s
1710,0 B/s,6.55 kB/s
1725,0 B/s,216 kB/s
1740,0 B/s,15.6 kB/s
1755,74.5 kB/s,11.1 MB/s
1770,357 kB/s,17.2 kB/s
1785,516 kB/s,9.83 kB/s
1800,74.5 kB/s,17.2 kB/s
1815,0 B/s,13.9 kB/s
1830,0 B/s,22.9 kB/s
1845,92.6 kB/s,91.8 kB/s
1860,0 B/s,13.1 kB/s
1875,0 B/s,80.3 kB/s
