Time,Total Transactions (Received),Successful Transactions
0,7,7
15,88,88
30,826,826
45,1499,1499
60,1511,1511
75,2767,2767
90,4510,4510
105,6538,6538
120,8990,8987
135,12087,12087
150,16278,16278
165,22793,22792
180,37179,37174
195,40815,40815
210,49911,49906
225,50815,50815
240,53315,50815
255,53315,50815
270,55815,50815
285,55815,50815
300,57238,50815
315,57238,50815
330,57238,50815
360,5,5
375,13,13
390,395,395
405,1145,1145
420,1517,1517
435,1672,1671
450,3013,3013
465,4798,4798
480,6892,6891
495,9432,9432
510,12655,12654
525,17080,17080
540,24559,24557
555,36289,36286
570,38431,38431
585,39553,39553
600,48431,48431
615,48431,48431
630,50931,48431
645,50931,48431
660,53431,48431
675,53431,48431
690,55685,48431
705,55685,48431
720,9,9
750,17,17
765,25,25
780,25,25
795,137,137
810,664,664
825,1302,1302
840,1529,1529
855,1529,1529
870,1529,1529
885,1769,1769
900,3129,3129
915,4925,4925
930,7048,7048
945,9627,9627
960,12913,12913
975,17427,17427
990,24674,24674
1005,33911,33911
1020,35831,35831
1035,35831,35831
1050,39881,39880
1065,45831,45831
1080,45831,45831
1095,46905,45831
1110,48331,45831
1125,49405,45831
1140,50831,45831
1155,51904,45831
1170,53331,45831
1185,53331,45831
1200,53331,45831
1230,16,16
1245,49,49
1260,49,49
1275,49,49
1290,49,49
1305,76,76
1320,263,263
1335,589,589
1350,1065,1065
1365,1465,1465
1380,1553,1553
1395,1553,1553
1410,1553,1553
1425,1553,1553
1440,1553,1553
1455,1891,1891
1470,3374,3374
1485,5211,5211
1500,7377,7376
1515,10013,10013
1530,13381,13381
1545,17936,17935
1560,24612,24552
1575,30900,30898
1590,31856,31856
1605,31856,31856
1620,31856,31856
1635,33406,33406
1650,36856,36856
1665,36858,36858
1680,41856,41856
1695,41856,41856
1710,41856,41856
1725,41856,41856
1740,41856,41856
1755,44356,41856
1770,44356,41856
1785,46856,41856
1800,46856,41856
1815,49356,41856
1830,49356,41856
1845,49356,41856
1860,49356,41856
